vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.001;0.4482192102244915;0.3768;0.6529;0.7995910950464727;0.0;0.8208;1037
0.001;0.44580587913727115;0.3736;0.6491;0.7887111058985323;0.0;0.8164;1048
0.001;0.4486030208990437;0.374;0.6542;0.7852568257584475;0.0;0.8186;1011
0.001;0.4517034896654845;0.376;0.6533;0.7849677756151572;0.0;0.8155;1016
0.001;0.45780014542713054;0.3588;0.6559;0.7893315849154097;0.0;0.814;989
0.001;0.4450735015570106;0.3892;0.6512;0.7885268199214419;0.0;0.8092;982
0.001;0.45070111175082256;0.374;0.652;0.7885992003863699;0.0;0.8221;1035
0.001;0.45216063436638426;0.3728;0.6518;0.7841730185549173;0.0;0.8128;1010
0.001;0.45078920428113417;0.3724;0.6529;0.7838082571015627;0.0;0.8075;1022
0.001;0.449433492208461;0.3808;0.6527;0.7863196794032691;0.0;0.8143;991
0.001;0.4493363520450832;0.374;0.6515;0.8140239304201663;0.0;0.8374;1089
0.001;0.45084872943041954;0.3756;0.6533;0.7685349401351198;0.0;0.8129;968
0.001;0.4407239823045811;0.3776;0.6474;0.798888714925864;0.0;0.826;1065
0.001;0.45120444152611183;0.3744;0.6546;0.7723411330469995;0.0;0.812;986
0.001;0.450726823680524;0.372;0.6539;0.766586376167108;0.0;0.812;1017
0.001;0.44544064394882915;0.3784;0.6498;0.7835477780718159;0.0;0.81;1017
0.001;0.45206349002960977;0.3736;0.6521;0.7956725286924764;0.0;0.8206;983
0.001;0.453909200858596;0.3604;0.6532;0.7815539705369053;0.0;0.8108;980
0.001;0.45123777636816903;0.3772;0.6527;0.7809387362093706;0.0;0.8171;1035
0.001;0.444050164876509;0.3884;0.6501;0.7904920584800939;0.0;0.8155;1028
0.001;0.4444801646881327;0.38;0.6491;0.783276355754393;0.0;0.8165;1007
0.001;0.44922920657216076;0.3796;0.6504;0.7826696840256876;0.0;0.8198;1005
0.001;0.4444244523781565;0.3908;0.6507;0.7804820701177461;0.0;0.813;1005
0.001;0.4421092179815878;0.3952;0.6477;0.8024406122465342;0.0;0.8215;1038
0.001;0.45104872766296683;0.37;0.6525;0.7707501802221459;0.0;0.8106;986
0.001;0.45007778002149124;0.3648;0.6537;0.8082206093492227;0.0;0.8332;1057
0.001;0.45293253681331114;0.3608;0.654;0.7723649417475186;0.0;0.8104;942
0.001;0.4478920662177567;0.3764;0.652;0.781137310062872;0.0;0.8126;995
0.001;0.4572444347473095;0.3708;0.6556;0.7828911168293735;0.0;0.8172;961
0.001;0.45386872374836523;0.372;0.654;0.7848439721003341;0.0;0.8181;990
0.001;0.45646253055630115;0.3652;0.6549;0.7819434988902625;0.0;0.8121;992
0.001;0.45297444174860685;0.3704;0.6533;0.7753268367936431;0.0;0.8238;971
0.001;0.44554016504591;0.3952;0.6499;0.7821692100152057;0.0;0.8126;1058
0.001;0.44442445267577624;0.3836;0.651;0.782072544567458;0.0;0.8096;950
0.001;0.4475149225905841;0.3848;0.6519;0.7927120526754319;0.0;0.8163;1009
0.001;0.44637635369246453;0.3856;0.6504;0.7877315900558753;0.0;0.8207;1022
0.001;0.4555625312761391;0.3724;0.6555;0.7798206428848975;0.0;0.8072;973
0.001;0.4515225382648572;0.3808;0.6541;0.7847201578915179;0.0;0.8222;1006
0.001;0.44417968952369374;0.3852;0.6518;0.7788954105696209;0.0;0.8158;1053
0.001;0.45440158047321366;0.3656;0.6551;0.7705697025189081;0.0;0.8137;976
0.001;0.44750968807579394;0.38;0.651;0.8054177527939446;0.0;0.8291;1058
0.001;0.4454430219853206;0.3824;0.6478;0.774970174789296;0.0;0.8122;991
0.001;0.4637239496800243;0.342;0.659;0.7838401674165459;0.0;0.8142;944
0.001;0.4506434899434236;0.3812;0.6528;0.7898168210392432;0.0;0.8204;1002
0.001;0.45702395899985365;0.366;0.6554;0.7910982518098479;0.0;0.8172;958
0.001;0.4513972985285779;0.3696;0.6527;0.7849234960913757;0.0;0.8168;1029
0.001;0.4461249268457712;0.3864;0.6503;0.7781592156028547;0.0;0.8156;1059
0.001;0.4506539678332936;0.3772;0.6529;0.8070372720292024;0.0;0.8282;1051
