vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.001;0.44435778104245877;0.39;0.655;0.7155476804834467;0.0;0.615;40
0.001;0.5069053063654463;0.24;0.6675;0.662155007428321;0.0;0.6825;25
0.001;0.4530720619982368;0.39;0.6675;0.7223692730924698;0.0;0.7375;42
0.001;0.4249292399165552;0.42;0.6425;0.6621550905532325;0.04;0.735;50000
0.001;0.41989353371459787;0.49;0.64;0.6937145810148686;0.02;0.76;50000
0.001;0.43297684962632155;0.37;0.65;0.6968097237559314;0.0;0.67;36
0.001;0.4439411095791833;0.39;0.6525;0.7061430910812864;0.0;0.73;39
0.001;0.44411969308891747;0.36;0.65;0.7204286970621397;0.0;0.695;37
0.001;0.47839346025635526;0.35;0.6675;0.6558931357627088;0.0;0.6925;29
0.001;0.44267921931242304;0.43;0.655;0.7591906768029985;0.02;0.7975;50000
0.001;0.4733934564468488;0.33;0.6575;0.6745953441454811;0.0;0.5925;34
0.001;0.4136792621933099;0.49;0.635;0.6703333896110015;0.0;0.53;33
0.001;0.4411673129236789;0.39;0.655;0.6638333927498589;0.0;0.5375;30
0.001;0.43165542068967555;0.37;0.6425;0.7018931454889449;0.02;0.77;50000
0.001;0.42421495852624114;0.43;0.6375;0.698904997663451;0.0;0.74;23
0.001;0.43739350172060365;0.38;0.655;0.6059765013053282;0.08;0.5875;50000
0.001;0.46654822636959964;0.34;0.6575;0.6814286433955457;0.0;0.565;32
0.001;0.44206016484758565;0.41;0.645;0.7233454821066576;0.0;0.7925;33
0.001;0.45032206540001946;0.35;0.655;0.6790240246759596;0.0;0.675;25
0.001;0.45016729852489507;0.37;0.655;0.6966548855713595;0.0;0.6075;36
0.001;0.4737148762525701;0.32;0.665;0.6962026700487307;0.04;0.7525;50000
0.001;0.48244106079352167;0.28;0.665;0.7305478559296483;0.0;0.7675;30
0.001;0.45810776558116695;0.38;0.655;0.7006074440240343;0.04;0.775;50000
0.001;0.426179236449308;0.4;0.6425;0.6534526357025318;0.0;0.6875;34
0.001;0.4508101515291543;0.37;0.6525;0.6357740916966584;0.0;0.665;21
0.001;0.46414346948552276;0.37;0.6625;0.6956073175758257;0.0;0.6675;39
0.001;0.4867386748633993;0.28;0.67;0.7187263002252751;0.0;0.635;45
0.001;0.40986974410371974;0.46;0.635;0.7068455083506648;0.0;0.765;36
0.001;0.41428640250751875;0.42;0.635;0.6832740125895733;0.0;0.6675;37
0.001;0.4276078061346807;0.36;0.6425;0.6813333928886957;0.01;0.505;50000
0.001;0.4756196383033061;0.42;0.65;0.7131192103871027;0.0;0.67;36
0.001;0.44464349357477806;0.4;0.65;0.6954048802785919;0.0;0.605;29
0.001;0.4500244312170969;0.34;0.6475;0.6580835110699873;0.0;0.5975;31
0.001;0.43446494381495576;0.45;0.65;0.7459645079286636;0.01;0.79;50000
0.001;0.42883399597325905;0.44;0.6475;0.7492740061253166;0.0;0.765;34
0.001;0.4357149404667483;0.41;0.645;0.6055597711516375;0.04;0.5475;50000
0.001;0.49370295650667956;0.28;0.6825;0.6959169015045902;0.0;0.71;26
0.001;0.4602030052030408;0.36;0.645;0.7256907018089018;0.0;0.74;25
0.001;0.47792915594050744;0.31;0.6675;0.6432025409992554;0.0;0.585;27
0.001;0.45281015264819596;0.38;0.65;0.7325121318586258;0.01;0.7725;50000


0.4505;0.46254822990531147;0.34;0.66;0.6798930613541121;0.0;0.6725;34
0.4505;0.40070308256602644;0.49;0.6275;0.6452739734011146;0.0;0.5475;30
0.4505;0.4415244549730011;0.36;0.6475;0.6734883012596226;0.0;0.67;29
0.4505;0.49698867155089155;0.28;0.67;0.6786430749205329;0.0;0.6525;29
0.4505;0.47291727351598456;0.33;0.655;0.7318930894473451;0.01;0.765;50000
0.4505;0.4212030536791688;0.45;0.6425;0.7191667423608223;0.01;0.59;50000
0.4505;0.4446196873567993;0.36;0.645;0.6283693446340158;0.05;0.6475;50000
0.4505;0.45242920274399273;0.32;0.6575;0.6855954378001211;0.0;0.6925;35
0.4505;0.40919116763563584;0.48;0.6275;0.6330478058303959;0.0;0.5575;33
0.4505;0.4710601279785888;0.31;0.6575;0.665297885730162;0.0;0.705;38
0.4505;0.44766729748323647;0.35;0.6425;0.6282383418935477;0.0;0.595;27
0.4505;0.41269116239158665;0.49;0.635;0.6791430804086452;0.0;0.72;26
0.4505;0.4327744745414172;0.4;0.6425;0.7330001216187361;0.0;0.6825;39
0.4505;0.48597676576931126;0.33;0.6725;0.6487503429310536;0.03;0.7325;50000
0.4505;0.42210781335490927;0.46;0.6325;0.7587263894513865;0.0;0.8;38
0.4505;0.4377387456906752;0.37;0.6525;0.6908454995173214;0.04;0.75;50000
0.4505;0.4433697006850978;0.39;0.645;0.7090002324361288;0.0;0.7275;34
0.4505;0.45148873347341445;0.36;0.6525;0.7117621700103895;0.0;0.765;36
0.4505;0.4342387562025652;0.38;0.645;0.7134287181255964;0.0;0.7;39
0.4505;0.4378458998024651;0.35;0.645;0.7190240488723704;0.0;0.7675;29
0.4505;0.4876791605029674;0.34;0.6775;0.7753097039285893;0.0;0.7975;27
0.4505;0.453738724970472;0.36;0.655;0.7196311648413689;0.0;0.7375;37
0.4505;0.43495303598573437;0.38;0.64;0.6598455585410492;0.0;0.7375;29
0.4505;0.447024443348023;0.39;0.65;0.7142383615602577;0.0;0.7925;27
0.4505;0.4463696919669058;0.37;0.6525;0.5176671140408224;0.12;0.5525;50000
0.4505;0.43265541077304015;0.43;0.6375;0.6846668974123421;0.0;0.7075;25
0.4505;0.4992267536592061;0.28;0.675;0.7090835849232344;0.03;0.7575;50000
0.4505;0.4559291938690076;0.37;0.65;0.649702653881912;0.0;0.655;24
0.4505;0.4394292245772954;0.41;0.645;0.6585240086719247;0.0;0.62;27
0.4505;0.47236964972887224;0.34;0.665;0.6887026642451771;0.03;0.7425;50000
0.4505;0.44169113248685177;0.35;0.65;0.7175716787726059;0.0;0.7825;42
0.4505;0.426726859522139;0.36;0.645;0.6166788946163991;0.0;0.6725;21
0.4505;0.4467625514681581;0.42;0.66;0.6819526206271334;0.0;0.695;27
0.4505;0.43566731493558597;0.43;0.6425;0.6865836201910498;0.01;0.7625;50000
0.4505;0.4521196807794165;0.39;0.655;0.733512007319097;0.0;0.6625;41
0.4505;0.45440538716889356;0.36;0.6525;0.6503572977633568;0.0;0.5675;27
0.4505;0.4158816398258219;0.4;0.625;0.6625835372783132;0.0;0.6125;31
0.4505;0.45129825444395294;0.39;0.655;0.6838217223588393;0.02;0.74;50000
0.4505;0.4671077534938568;0.3;0.655;0.6815954956512431;0.0;0.7125;23
0.4505;0.4312982835510534;0.42;0.645;0.7275716640404896;0.0;0.8025;42


0.9;0.4413220771797524;0.37;0.645;0.6879644628175571;0.0;0.6325;34
0.9;0.47190536589904186;0.29;0.665;0.6708336567058807;0.0;0.755;27
0.9;0.42035782564952173;0.44;0.64;0.6655240283326642;0.0;0.6575;32
0.9;0.41050069265971467;0.46;0.63;0.7116667203967141;0.0;0.6075;40
