vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.001;0.4997506248117183;0.364;0.7492;0.5012220513703938;0.3612;0.7497;5
0.001;0.4979934843754904;0.3676;0.7485;0.49995776718544294;0.3616;0.749;9
0.001;0.49620777230150814;0.3656;0.7477;0.4981006267313582;0.3636;0.7481;7
0.001;0.4975863418946228;0.36;0.7482;0.5015887174438066;0.3512;0.7496;11
0.001;0.5030077636586621;0.3704;0.7509;0.5065006162313713;0.362;0.7525;9
0.001;0.5065077592836674;0.3512;0.7527;0.5066220446204022;0.3496;0.7523;4
0.001;0.49934348247370736;0.366;0.7491;0.5001006240170754;0.3644;0.7488;5
0.001;0.4922149199966554;0.3744;0.7454;0.49427920296732153;0.3676;0.7463;6
0.001;0.508522042459691;0.35;0.7537;0.5092863266982125;0.348;0.7534;5
0.001;0.49400777490864783;0.3728;0.7463;0.49686491368416247;0.3684;0.7472;6
0.001;0.49743634201069414;0.37;0.7481;0.49995776718544294;0.3648;0.7489;12
0.001;0.49774348461656165;0.368;0.7482;0.4980768173110064;0.366;0.7482;3
0.001;0.4980363412606951;0.3624;0.7483;0.4989577684354414;0.3592;0.7483;5
0.001;0.48985778016756976;0.3784;0.7444;0.4911149211573677;0.3752;0.7446;6
0.001;0.495472058843599;0.362;0.7472;0.49676491416630497;0.362;0.7476;5
0.001;0.4966649145055906;0.3692;0.7477;0.5003077666765152;0.3624;0.749;14
0.001;0.49996491023773904;0.3608;0.7493;0.5013149084073837;0.3572;0.7499;6
0.001;0.49369348960762693;0.3728;0.7462;0.49617920044946767;0.368;0.7472;8
0.001;0.5002577671675861;0.36;0.7496;0.503679190884003;0.3544;0.7505;10
0.001;0.5016077654086598;0.3556;0.7503;0.5020434788844258;0.354;0.7499;4
0.001;0.4934649185055856;0.3652;0.746;0.49401491753237226;0.3632;0.7462;3
0.001;0.49802205558467466;0.3676;0.7483;0.5000363383321266;0.3612;0.7488;6
0.001;0.49606491525558977;0.3752;0.7475;0.49690062823135633;0.3724;0.7474;5
0.001;0.499779196306616;0.362;0.7494;0.5019649075234563;0.3572;0.7499;8
0.001;0.4999791960566163;0.3612;0.7494;0.5016934790362109;0.3572;0.7496;8
0.001;0.4988149117466657;0.3708;0.7489;0.5051268082723276;0.3588;0.7516;23
0.001;0.49397206071859673;0.364;0.7464;0.4965292000833967;0.358;0.7474;10
0.001;0.5015577655425881;0.3564;0.7502;0.5037006195885102;0.3528;0.7508;11
0.001;0.5007149095145254;0.344;0.7498;0.5020791932173337;0.3392;0.7502;7
0.001;0.4967363430285499;0.3772;0.7476;0.49815776936401107;0.3728;0.7479;4
0.001;0.497050628186714;0.3632;0.7481;0.49926729188810604;0.3612;0.7488;9
0.001;0.5027220497096819;0.3524;0.7506;0.5048791893601955;0.3488;0.7513;7
0.001;0.49969348210763637;0.3512;0.7492;0.5010220516203936;0.3488;0.7496;5
0.001;0.5048577612747365;0.3336;0.7519;0.5064720445221877;0.3316;0.7518;6
0.001;0.49808634126962353;0.3708;0.7485;0.49911491115738027;0.3688;0.7485;5
0.001;0.4912434925986947;0.384;0.7449;0.49447920264589285;0.378;0.7461;12
0.001;0.48740778315863753;0.38;0.743;0.4917934916254813;0.372;0.745;9
0.001;0.4954577731675785;0.3748;0.7473;0.49653634306426375;0.3704;0.7473;7
0.001;0.49327206159359555;0.3772;0.7461;0.4938577748104334;0.3756;0.7458;5
0.001;0.5039934765897862;0.3564;0.7515;0.5039077623193775;0.3548;0.751;4
0.001;0.49885776891758377;0.3744;0.7488;0.5010577658104447;0.37;0.7496;9
0.001;0.49605777241757953;0.3684;0.7474;0.49756491316630624;0.3648;0.7478;7
0.001;0.5065291877976983;0.354;0.7525;0.5073649007020357;0.3512;0.7525;4
0.001;0.5030577636675905;0.362;0.7509;0.5038434764201427;0.3596;0.7507;4
0.001;0.5033434774737137;0.3536;0.7511;0.5049863322874917;0.3512;0.7514;7
0.001;0.5027363353857024;0.3596;0.7508;0.5049482373339762;0.3552;0.7515;9
0.001;0.5060791884316259;0.3544;0.7525;0.5083363280285687;0.3516;0.753;10
0.001;0.5018649080055988;0.37;0.7503;0.5030291921726926;0.366;0.7509;6
0.001;0.5068244254076762;0.3432;0.7529;0.5105934681255107;0.3364;0.7543;12
0.001;0.49818634114462373;0.3608;0.7485;0.5016220510132512;0.3544;0.75;12
0.001;0.5014720513436085;0.3612;0.7501;0.5028149063181001;0.358;0.7501;7
0.001;0.5046934758576441;0.3608;0.7518;0.5068482347565981;0.3568;0.7523;7
0.001;0.5017720509686089;0.3656;0.7503;0.5029720492543249;0.3628;0.7506;6
0.001;0.5001434814737087;0.372;0.7495;0.5010077658015163;0.3688;0.7494;5
0.001;0.4956434872415583;0.3688;0.7472;0.4964911049870245;0.3652;0.7474;5
0.001;0.49745062768671466;0.3684;0.7482;0.49942205340610507;0.3636;0.7486;8
0.001;0.49621491499666154;0.3636;0.7476;0.4974506274724288;0.3608;0.7476;7
0.001;0.49985776766758544;0.3652;0.7494;0.5006291949584031;0.3632;0.7494;5
0.001;0.5028077637658049;0.3632;0.7505;0.5039006194813672;0.362;0.751;5
0.001;0.498193483982634;0.3688;0.7484;0.4999577673282996;0.366;0.7491;8
0.001;0.5019006220527932;0.3648;0.7503;0.5026720496769432;0.3632;0.7503;5
0.001;0.4992506254367175;0.3616;0.749;0.5010434801344242;0.358;0.7498;5
0.001;0.5053434751165735;0.3552;0.7521;0.5106148966871603;0.3436;0.7545;18
0.001;0.4991077686765126;0.3648;0.749;0.5025149069073855;0.362;0.7505;11
0.001;0.49832919804768533;0.3584;0.7487;0.500593480554066;0.3532;0.7492;9
0.001;0.5037006199456528;0.3544;0.7514;0.5051934750183591;0.3508;0.7517;9
0.001;0.49768634176962295;0.3776;0.7482;0.4982577690961545;0.3752;0.7478;4
0.001;0.5032434775987135;0.3672;0.7511;0.5071720437900457;0.3572;0.7524;16
0.001;0.49392920369053517;0.378;0.7464;0.49659348541120296;0.37;0.7469;8
0.001;0.4892077809086404;0.3892;0.7441;0.49230777681935944;0.382;0.7451;13
0.001;0.49585062968671206;0.3808;0.7472;0.4975720560043164;0.3788;0.7481;6
0.001;0.5060363312607077;0.348;0.7524;0.507150615347444;0.3468;0.7527;5
0.001;0.5016506224367213;0.3608;0.7502;0.5061863307160646;0.352;0.7518;15
0.001;0.5033291917976932;0.3528;0.7511;0.5073577578640254;0.3424;0.7525;16
0.001;0.4996291964226873;0.3572;0.7492;0.5009149089073831;0.3568;0.7495;8
0.001;0.49805776991758266;0.3652;0.7484;0.5003791951994743;0.3604;0.7492;8
0.001;0.4904577794175708;0.382;0.7446;0.49281015716020476;0.3748;0.7456;9
0.001;0.5138291786727095;0.3428;0.7564;0.5152625097659654;0.3404;0.7563;7
0.001;0.49770777028365376;0.3764;0.7481;0.4989506254307642;0.374;0.7483;6
0.001;0.49003635140353935;0.3724;0.7444;0.4905553978029166;0.3708;0.7441;4
0.001;0.5031077633908053;0.3588;0.7507;0.50491490340739;0.3552;0.7512;6
0.001;0.4983363408856956;0.358;0.7484;0.498555388195786;0.356;0.7485;3
0.001;0.4960649151127331;0.3668;0.7476;0.4966363427964071;0.366;0.7473;4
0.001;0.5023291930476916;0.3552;0.7507;0.5060363310464218;0.3456;0.7522;14
0.001;0.5011649087377409;0.3564;0.7499;0.5014910983917944;0.3544;0.7495;4
0.001;0.49987205334360585;0.3724;0.7493;0.5024934783933549;0.3652;0.7503;11
0.001;0.5024434785987122;0.352;0.7508;0.5044791900744807;0.3508;0.7512;7
0.001;0.507986328894639;0.3448;0.7535;0.5089791845923445;0.342;0.7535;6
0.001;0.5015149085145266;0.3564;0.7502;0.5034863338410609;0.3528;0.7504;6
0.001;0.5028006210706514;0.3524;0.7507;0.5047149039431031;0.3472;0.7512;5
0.001;0.5018220508346806;0.354;0.7503;0.5022863358053443;0.3532;0.7502;4
0.001;0.49973633913569776;0.3636;0.7491;0.502614906639529;0.3596;0.7504;10
0.001;0.5049934754826447;0.3496;0.7518;0.5066077589443817;0.3476;0.7525;4
0.001;0.49389348935762717;0.3796;0.7462;0.49580777230150813;0.3764;0.7469;7
0.001;0.4927506337045641;0.374;0.7458;0.49330063258849394;0.3708;0.7456;4
0.001;0.5030077636586621;0.3516;0.7509;0.5052363320464205;0.3488;0.7518;10
0.001;0.494900630945639;0.3708;0.7467;0.49660062824921325;0.3668;0.7471;6
0.001;0.5023720502186099;0.3636;0.7505;0.5028768111800619;0.3604;0.7505;5
0.001;0.4971434853665607;0.3628;0.748;0.49910062548135975;0.3568;0.7487;10
0.001;0.5043649048806026;0.362;0.7516;0.5064720447364737;0.3564;0.7522;10


0.006022346368715084;0.4936077725038838;0.3672;0.7427;0.5038891847062635;0.3484;0.741;56
0.006022346368715084;0.4959601509131834;0.3632;0.7438;0.5633576802736386;0.254;0.7749;189
0.006022346368715084;0.49936490848773557;0.3596;0.7449;0.5268210588050504;0.3128;0.7561;62
0.006022346368715084;0.5038053789547213;0.3408;0.7471;0.5245043955953231;0.3016;0.7557;50
0.006022346368715084;0.4953720560638355;0.3732;0.7429;0.5624519666587051;0.2536;0.7738;205
0.006022346368715084;0.5008649063270244;0.3612;0.746;0.5196048786958632;0.3168;0.7532;57
0.006022346368715084;0.5007006210527888;0.3536;0.746;0.5328343860656921;0.2892;0.7554;126
0.006022346368715084;0.4950363423678311;0.3664;0.7429;0.5329886706700474;0.2992;0.7597;103
0.006022346368715084;0.49146253754211594;0.3764;0.7415;0.5400124722594566;0.2788;0.7592;179
0.006022346368715084;0.5096410857400202;0.3404;0.7504;0.5225920176953065;0.3124;0.7544;42
0.006022346368715084;0.49878395655973073;0.3664;0.7453;0.5178267848616338;0.3264;0.7517;58
0.006022346368715084;0.4960768172276684;0.3728;0.7431;0.525690108900256;0.3132;0.7561;87
0.006022346368715084;0.4910863473767533;0.3688;0.7407;0.5153234553339715;0.3232;0.7468;92
0.006022346368715084;0.492400631594442;0.374;0.742;0.5304281982597309;0.2948;0.7535;146
0.006022346368715084;0.4946315810194742;0.3776;0.7429;0.5318167669191565;0.2972;0.7593;110
0.006022346368715084;0.4976506249367124;0.3652;0.7444;0.5102848894334711;0.3328;0.7439;60
0.006022346368715084;0.49999347876834954;0.3672;0.7456;0.5802381339868355;0.2448;0.7826;220
0.006022346368715084;0.4916649179936761;0.3768;0.7412;0.5351272399693525;0.2892;0.761;123
0.006022346368715084;0.48721492360378826;0.3808;0.7397;0.5447077041765851;0.2796;0.7659;164
0.006022346368715084;0.4919672987154733;0.3812;0.7416;0.5241272530169557;0.3224;0.7553;93
0.006022346368715084;0.4934934870719105;0.3732;0.7421;0.5172415474013;0.3216;0.7467;87
0.006022346368715084;0.5027315704421073;0.3508;0.7466;0.5852143183307786;0.2224;0.7856;250
0.006022346368715084;0.5031482365601635;0.358;0.7471;0.5478038909186179;0.274;0.7672;151
0.006022346368715084;0.4900077771229255;0.382;0.7406;0.5282486775726569;0.3016;0.7574;122
0.006022346368715084;0.4992863370077188;0.3612;0.7452;0.6077076244147809;0.2012;0.7967;300
0.006022346368715084;0.4927744401249145;0.3732;0.7421;0.5578214964520775;0.2584;0.7725;195
0.006022346368715084;0.4978339579615144;0.3556;0.7448;0.573135763595979;0.2296;0.7754;254
0.006022346368715084;0.4909387285062881;0.38;0.741;0.5070648939603694;0.348;0.7419;71
0.006022346368715084;0.5133339384555866;0.3412;0.7524;0.5453996079458089;0.28;0.7619;133
0.006022346368715084;0.4968649112317802;0.3644;0.744;0.54837531829277;0.272;0.7673;157
0.006022346368715084;0.4948115807963791;0.3708;0.7431;0.5047034692929987;0.348;0.7412;48
0.006022346368715084;0.49496491386868136;0.3732;0.7428;0.5548357852447612;0.2592;0.7703;185
0.006022346368715084;0.49408634348390124;0.3748;0.7426;0.5310296252030495;0.3068;0.7587;96
0.006022346368715084;0.49149110836796805;0.3788;0.741;0.518053928417976;0.3256;0.7527;80
0.006022346368715084;0.4956172938434559;0.3624;0.7431;0.5121353640560453;0.3296;0.7448;68
0.006022346368715084;0.4959434842236995;0.3728;0.7431;0.5239120154707857;0.3232;0.7547;70
0.006022346368715084;0.4966720545578848;0.3608;0.7437;0.5194177359523772;0.3168;0.7482;92
0.006022346368715084;0.4864506386509815;0.3896;0.739;0.5527638833248201;0.2704;0.7649;231
0.006022346368715084;0.49823633865354966;0.3632;0.7446;0.5239915393804753;0.3156;0.7554;58
0.006022346368715084;0.49385777209614645;0.3708;0.7426;0.5134834580163469;0.3228;0.7452;84
0.006022346368715084;0.4916030134650475;0.3788;0.7413;0.5115829836991276;0.334;0.7491;59
0.006022346368715084;0.49061491921093675;0.3752;0.7414;0.539005806068424;0.274;0.758;173
0.006022346368715084;0.4912077760514977;0.372;0.7414;0.572460526112666;0.2416;0.7746;269
0.006022346368715084;0.481183978571608;0.3992;0.7363;0.523356778393902;0.316;0.7544;141
0.006022346368715084;0.49927443232135227;0.362;0.745;0.5180563084195345;0.3236;0.752;53
0.006022346368715084;0.49546015108580305;0.3632;0.7432;0.5118615556910483;0.332;0.7492;48
0.006022346368715084;0.4993982416167042;0.3684;0.7451;0.5390086622872008;0.2896;0.7626;126
0.006022346368715084;0.4948577711318616;0.3692;0.7429;0.5166482157208984;0.3212;0.7512;67
0.006022346368715084;0.4950649137198721;0.3648;0.7434;0.5160782154495912;0.33;0.7457;78
0.006022346368715084;0.5010339537948533;0.3628;0.746;0.5498957922307042;0.2704;0.7634;174
